X,Y,fid,CD_MUN,NM_MUN,SIGLA,AREA_KM2,DADOS_POP1_Total da populacao 2000,DADOS_POP1_Total de homens,DADOS_POP1_Total de mulheres,DADOS_POP1_Total da populacao urbana,DADOS_POP1_Total da populacao rural,DADOS_POP1_Total da populacao 2010,DADOS_POP1_densidade,icon_url
-44.3527530978805,-22.9865513955368,"1","3300100",Angra dos Reis,RJ,813.42,"119247","84490","84780","163080","6190","169270","205,45",./0.png
-42.1346655554104,-21.6522919676055,"2","3300159",Aperibé,RJ,94.542,"8018","5023","5192","8880","1335","10215","107,92",./1.png
-42.2929093855005,-22.7553470679123,"3","3300209",Araruama,RJ,638.276,"82803","54305","57723","106519","5509","112028","175,55",./0.png
-43.1215380412388,-22.2353994555888,"4","3300225",Areal,RJ,110.724,"9899","5663","5758","9920","1501","11421","102,99",./1.png
-41.9495507350472,-22.776208763987,"5","3300233",Armação dos Búzios,RJ,70.977,"18204","13737","13801","27538","0","27538","392,16",./1.png
-42.160006451978,-22.9250011444016,"6","3300258",Arraial do Cabo,RJ,152.106,"23877","13647","14123","27770","0","27770","172,91",./1.png
-43.9129587011117,-22.4256619838165,"7","3300308",Barra do Piraí,RJ,584.61,"88503","45208","49647","92040","2815","94855","163,7",./0.png
-44.1883062568535,-22.5057827819772,"8","3300407",Barra Mansa,RJ,547.133,"170753","85822","92039","176251","1610","177861","324,94",./0.png
-43.3775652569216,-22.7287284888299,"9","3300456",Belford Roxo,RJ,78.985,"434474","226757","242504","469261","0","469261","6031,38",./2.png
-42.3717262919212,-22.1997480943538,"10","3300506",Bom Jardim,RJ,382.43,"22651","12756","12642","15281","10117","25398","65,86",./1.png
-41.6832007568638,-21.1234625345859,"11","3300605",Bom Jesus do Itabapoana,RJ,596.659,"33655","17179","18205","29912","5472","35384","59,13",./1.png
-42.0569734755312,-22.71181655229,"12","3300704",Cabo Frio,RJ,413.449,"126828","90806","95416","140466","45756","186222","453,75",./0.png
-42.7284108045596,-22.5161206258838,"13","3300803",Cachoeiras de Macacu,RJ,954.749,"48543","27127","27243","47015","7355","54370","56,9",./1.png
-41.9146518913571,-21.4969171438962,"14","3300902",Cambuci,RJ,558.281,"14670","7402","7427","11301","3528","14829","26,4",./1.png
-41.6509036679524,-22.1959529650986,"15","3300936",Carapebus,RJ,304.885,"8666","6792","6556","10542","2806","13348","115,16",./1.png
-43.2557398243064,-22.0437710218127,"16","3300951",Comendador Levy Gasparian,RJ,108.639,"7924","4080","4103","7865","318","8183","76,71",./1.png
-41.4040921610018,-21.7476613040546,"17","3301009",Campos dos Goytacazes,RJ,4032.487,"406989","223100","240445","418565","44980","463545","43,36",./2.png
-42.3338867958528,-21.8683548178362,"18","3301108",Cantagalo,RJ,747.21,"19835","9840","9986","14027","5799","19826","76,53",./1.png
-41.5002965435586,-21.5254535929541,"19","3301157",Cardoso Moreira,RJ,522.596,"12595","6243","6297","8764","3776","12540","26,47",./1.png
-42.5664121577641,-21.8954201301075,"20","3301207",Carmo,RJ,305.749,"15289","8603","8836","13474","3965","17439","24,02",./1.png
-42.1442387567007,-22.4818636159004,"21","3301306",Casimiro de Abreu,RJ,462.918,"22152","17436","17937","28533","6840","35373","54,15",./1.png
-41.8465798109544,-22.1366126558064,"22","3301405",Conceição de Macabu,RJ,338.26,"18782","10543","10657","18332","2868","21200","61,08",./1.png
-42.3422206156589,-22.0588036592342,"23","3301504",Cordeiro,RJ,113.048,"18601","9761","10642","19835","568","20403","175,59",./1.png
-42.4980443191518,-22.0556088618492,"24","3301603",Duas Barras,RJ,379.619,"10334","5512","5421","7739","3194","10933","29,14",./1.png
-43.2996064671256,-22.6324916923347,"25","3301702",Duque de Caxias,RJ,467.319,"775456","410959","444087","852131","2915","855046","1828,51",./3.png
-43.6360993741372,-22.508285929042,"26","3301801",Engenheiro Paulo de Frontin,RJ,139.381,"12164","6451","6788","9525","3714","13239","99,57",./1.png
-42.9640156234832,-22.583503963731,"27","3301850",Guapimirim,RJ,358.443,"37952","25289","26198","49757","1730","51487","142,7",./1.png
-42.2180108602914,-22.8274830748409,"28","3301876",Iguaba Grande,RJ,50.977,"15089","11044","11814","22858","0","22858","439,91",./1.png
-42.8543588334728,-22.7500211961626,"29","3301900",Itaboraí,RJ,429.961,"187479","106214","111876","215503","2587","218090","506,55",./0.png
-43.8123181764236,-22.8346733784719,"30","3302007",Itaguaí,RJ,282.606,"82003","54426","54737","104292","4871","109163","395,45",./0.png
-41.6538310142495,-21.4239085438715,"31","3302056",Italva,RJ,291.193,"12621","6834","7193","10228","3799","14027","47,86",./1.png
-42.0822421119799,-21.7268900021317,"32","3302106",Itaocara,RJ,433.182,"23003","11193","11709","17329","5573","22902","53,09",./1.png
-41.8940248852878,-21.225097540209,"33","3302205",Itaperuna,RJ,1106.694,"86720","46541","49335","88408","7468","95876","86,71",./0.png
-44.587841629263,-22.4416628220673,"34","3302254",Itatiaia,RJ,241.035,"24739","14248","14604","27848","1004","28852","117,41",./1.png
-43.6057561196827,-22.6619246682395,"35","3302270",Japeri,RJ,81.697,"83278","48058","47333","95391","0","95391","1166,37",./0.png
